"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/01_20_2_Subsidy_PctHousePrice.nlogo"
"best_SubsidyPerc"
"01/23/2021 15:24:24:677 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"214","0.0213","81","1.285356547312258E7"
"215","0.0214","81","1.2866809045797126E7"
"216","0.0215","81","1.2869700818471672E7"
"217","0.0216","81","1.2849608634146588E7"
"218","0.0217","81","1.2852535513455512E7"
"219","0.0218","81","1.2855462392764432E7"
"220","0.0219","81","1.2858389272073356E7"
"221","0.022","81","1.286131615138228E7"
"222","0.0221","81","1.28642430306912E7"
"223","0.0222","81","1.2867169910000125E7"
"224","0.0223","81","1.2870096789309049E7"
"225","0.0224","81","1.287302366861797E7"
"226","0.0225","81","1.2875950547926893E7"
"227","0.0226","81","1.2878877427235814E7"
"228","0.0227","81","1.2881804306544738E7"
"229","0.0228","81","1.2884731185853662E7"
"230","0.0229","81","1.2887658065162582E7"
"231","0.023","81","1.2890584944471506E7"
"232","0.0231","81","1.2893511823780427E7"
"233","0.0232","81","1.289643870308935E7"
"234","0.0233","81","1.2899365582398275E7"
"235","0.0234","81","1.2902292461707195E7"
"236","0.0235","81","1.291856734101612E7"
"237","0.0236","81","1.292155102032504E7"
"238","0.0237","81","1.2919259344018469E7"
"239","0.0238","81","1.2922288145044582E7"
"240","0.0239","81","1.2925316946070692E7"
"241","0.024","81","1.2945361747096801E7"
"242","0.0241","81","1.294846144812291E7"
"243","0.0242","81","1.2951561149149021E7"
"244","0.0243","81","1.295466085017513E7"
"245","0.0244","81","1.2957760551201241E7"
"246","0.0245","81","1.2960860252227353E7"
"247","0.0246","81","1.2963959953253461E7"
"248","0.0247","81","1.298269475427957E7"
"249","0.0248","81","1.2985857755305683E7"
"250","0.0249","81","1.2990509426580174E7"
"251","0.025","81","1.2993721281668784E7"
"252","0.0251","81","1.2996933136757394E7"
"253","0.0252","81","1.3000144991846005E7"
"254","0.0253","81","1.3003356846934615E7"
"255","0.0254","81","1.3006568702023225E7"
"256","0.0255","81","1.3009780557111835E7"
"257","0.0256","81","1.3012992412200442E7"
"258","0.0257","81","1.3016204267289056E7"
"259","0.0258","81","1.3029349122377666E7"
"260","0.0259","81","1.3066816216155162E7"
"261","0.026","81","1.3070238170806272E7"
"262","0.0261","81","1.3075456948591849E7"
"263","0.0262","81","1.3078925550992964E7"
"264","0.0263","81","1.3082394153394071E7"
"265","0.0264","81","1.3086502330287015E7"
"266","0.0265","81","1.3053785253118968E7"
"267","0.0266","81","1.3057448233632756E7"
"268","0.0267","81","1.3063662686595658E7"
"269","0.0268","81","1.3067375781921947E7"
"270","0.0269","81","1.3071088877248237E7"
"271","0.027","81","1.307480197257453E7"
"272","0.0271","81","1.3081005566424368E7"
"273","0.0272","81","1.3139881530354178E7"
"274","0.0273","81","1.3143884262930466E7"
"275","0.0274","81","1.3147886995506754E7"
"276","0.0275","81","1.3151889728083046E7"
"277","0.0276","81","1.3155892460659334E7"
"278","0.0277","81","1.3159895193235623E7"
"279","0.0278","81","1.3186921885811912E7"
"280","0.0279","81","1.31910074383882E7"
"281","0.028","81","1.3195092990964493E7"
"282","0.0281","81","1.3204474973213764E7"
"283","0.0282","81","1.3208624193665052E7"
"284","0.0283","81","1.3178917821419543E7"
"285","0.0284","81","1.318311003538292E7"
"286","0.0285","81","1.3187302249346303E7"
"287","0.0286","81","1.3191494463309681E7"
"288","0.0287","81","1.3195686677273063E7"
"289","0.0288","81","1.3199878891236441E7"
"290","0.0289","81","1.320407110519982E7"
"291","0.029","81","1.3208263319163198E7"
"292","0.0291","81","1.3212455533126576E7"
"293","0.0292","81","1.3216647747089954E7"
"294","0.0293","81","1.3220839961053336E7"
"295","0.0294","81","1.3225032175016714E7"
"296","0.0295","81","1.3139526608783882E7"
"297","0.0296","81","1.3143853000076434E7"
"298","0.0297","81","1.3148179391368985E7"
"299","0.0298","81","1.3159802265041396E7"
"300","0.0299","81","1.3164236240333946E7"
"301","0.03","81","1.3168670215626497E7"
