latitude,longitude,altitude (m),improvementmarketvalue,marketvalueyear,noofstories,propertycountylandusecode,propertyzip,rowid,squarefeet,storytypestdcode,totalmarketvalue
40.578989,-73.946334,0.8,1163000,2017,2,RR101,11235,023C9E57-730B-E811-80C3-3863BB430E3F,6000,,1611000
40.623906,-73.93008,4.6,380000,2017,2,RR101,11234,0245D057-730B-E811-80C3-3863BB430E3F,2000,,512000
40.606873,-73.929096,3.1,503000,2017,2,RR101,11234,024AC457-730B-E811-80C3-3863BB430E3F,3125,,710000
40.619266,-73.941564,6.5,456000,2017,2,RR101,11234,024DA557-730B-E811-80C3-3863BB430E3F,2032,,636000
40.632041,-73.931371,6.7,354000,2017,2,RR101,11234,0250A557-730B-E811-80C3-3863BB430E3F,1720,,475000
40.619787,-73.931587,5.2,320000,2017,2,RR101,11234,025AC457-730B-E811-80C3-3863BB430E3F,3500,,504000
40.618888,-73.906066,2.5,584000,2017,2,RR101,11234,026AC457-730B-E811-80C3-3863BB430E3F,3200,,791000
40.575548,-73.948043,0.8,1447000,2017,2,RR101,11235,0270AC57-730B-E811-80C3-3863BB430E3F,4000,,1938000
40.623546,-73.934819,4.6,342000,2017,2,RR101,11234,027BB857-730B-E811-80C3-3863BB430E3F,1833,,495000
40.61058,-73.928224,4,373000,2017,2,RR101,11234,027CD757-730B-E811-80C3-3863BB430E3F,2500,,526000
40.639466,-73.888373,2.3,246000,2017,2,RR101,11236,027EC457-730B-E811-80C3-3863BB430E3F,2600,,406000
40.615982,-73.93594,5.7,360000,2017,2.5,RR101,11234,0282A057-730B-E811-80C3-3863BB430E3F,2000,,538000
40.638815,-73.887648,2.2,239000,2017,2,RR101,11236,0283B857-730B-E811-80C3-3863BB430E3F,2600,,402000
40.615836,-73.934722,5.1,480000,2017,2,RR101,11234,0293D257-730B-E811-80C3-3863BB430E3F,3300,,773000
40.615685,-73.904221,1.7,514000,2017,2,RR101,11234,029BD257-730B-E811-80C3-3863BB430E3F,2550,,715000
40.615782,-73.932034,4.3,484000,2017,2,RR101,11234,02A1B857-730B-E811-80C3-3863BB430E3F,2800,,725000
40.616885,-73.905539,1.9,459000,2017,2,RR101,11234,02A2BF57-730B-E811-80C3-3863BB430E3F,2700,,664000
40.612958,-73.94127,5.4,481000,2017,2,RR101,11234,02C5D957-730B-E811-80C3-3863BB430E3F,2000,,664000
40.641471,-73.910057,5.8,472000,2017,1,RR101,11236,02C7A057-730B-E811-80C3-3863BB430E3F,2212,,606000
40.618911,-73.939633,6,405000,2017,2,RR101,11234,02D3CB57-730B-E811-80C3-3863BB430E3F,1640,,560000
40.643321,-73.911055,6,384000,2017,1,RR101,11236,02D7CD57-730B-E811-80C3-3863BB430E3F,3000,,563000
40.586366,-73.962996,3.3,524000,2017,2,RR101,11235,02DCBF57-730B-E811-80C3-3863BB430E3F,1600,,652000
40.617521,-73.908905,2.6,762000,2017,2,RR101,11234,02E2AE57-730B-E811-80C3-3863BB430E3F,5250,,1135000
40.584868,-73.938429,3.2,274000,2017,1,RR101,11235,02E6CD57-730B-E811-80C3-3863BB430E3F,1073,,357000
40.610507,-73.939602,4.3,584000,2017,2.5,RR101,11234,02EBBF57-730B-E811-80C3-3863BB430E3F,3200,,867000
40.606376,-73.915542,0.5,432000,2017,2,RR101,11234,02F0C157-730B-E811-80C3-3863BB430E3F,1800,,633000
40.646227,-73.918969,5.9,188000,2017,2,RR101,11236,02F4D457-730B-E811-80C3-3863BB430E3F,1440,,365000
40.607721,-73.91257,1.7,387000,2017,2,RR101,11234,0306AF57-730B-E811-80C3-3863BB430E3F,2100,,609000
40.622782,-73.931908,4.6,352000,2017,2.75,RR101,11234,0309B657-730B-E811-80C3-3863BB430E3F,2400,,480000
40.615654,-73.916399,2.8,320000,2017,2,RR101,11234,030AAF57-730B-E811-80C3-3863BB430E3F,2600,,538000
40.652043,-73.917529,8.9,139000,2017,1,RR101,11236,030CAF57-730B-E811-80C3-3863BB430E3F,2300,,378000
40.631547,-73.9101,1.5,333000,2017,2,RR101,11236,0311C255-730B-E811-80C3-3863BB430E3F,2000,,499000
40.584629,-73.936768,1.7,218000,2017,1,RR101,11235,032BBD57-730B-E811-80C3-3863BB430E3F,2077,,368000
40.58028,-73.961586,2.7,137000,2017,1,RR101,11235,0343B157-730B-E811-80C3-3863BB430E3F,1800,,309000
40.617804,-73.94044,6.4,481000,2017,2,RR101,11234,0346B157-730B-E811-80C3-3863BB430E3F,1845,,631000
40.640289,-73.903882,4.3,285000,2017,2,RR101,11236,0350B157-730B-E811-80C3-3863BB430E3F,2976,,481000
40.642087,-73.913949,5.8,159000,2017,2,RR101,11236,03B0B357-730B-E811-80C3-3863BB430E3F,3633,,441000
40.611171,-73.938801,4.7,456000,2017,2,RR101,11234,03B2B357-730B-E811-80C3-3863BB430E3F,1767,,666000
40.616417,-73.901351,2.1,771000,2017,1.5,RR101,11234,03BCB357-730B-E811-80C3-3863BB430E3F,6000,,1148000
40.578764,-73.937729,2.6,891000,2017,2,RR101,11235,03BD9B57-730B-E811-80C3-3863BB430E3F,2700,,1215000
40.648421,-73.918791,7.4,226000,2017,1,RR101,11236,03C8B357-730B-E811-80C3-3863BB430E3F,2200,,465000
40.610977,-73.930196,4.3,400000,2017,2,RR101,11234,03D0BA57-730B-E811-80C3-3863BB430E3F,3000,,612000
40.60973,-73.90451,4.5,691000,2017,1,RR101,11234,03F39B57-730B-E811-80C3-3863BB430E3F,5575,,1020000
40.586986,-73.958811,3.1,347000,2017,2,RR101,11235,03FAAE57-730B-E811-80C3-3863BB430E3F,2000,,495000
40.578513,-73.960963,2.7,204000,2017,1,RR101,11235,0407C257-730B-E811-80C3-3863BB430E3F,1638,,408000
40.63662,-73.902013,4.2,355000,2017,2,RR101,11236,0409C957-730B-E811-80C3-3863BB430E3F,2794,,528000
40.63166,-73.907356,1.4,300000,2017,2,RR101,11236,0423DC57-730B-E811-80C3-3863BB430E3F,1600,,432000
40.618225,-73.929839,4.7,383000,2017,2,RR101,11234,0427C257-730B-E811-80C3-3863BB430E3F,2000,,522000
40.637339,-73.893681,4.3,175000,2017,1,RR101,11236,042DD557-730B-E811-80C3-3863BB430E3F,2750,,337000
40.584416,-73.953308,2.7,347000,2017,2,RR101,11235,0431D057-730B-E811-80C3-3863BB430E3F,1093,,471000
40.612489,-73.935597,4.7,459000,2017,2,RR101,11234,0446A557-730B-E811-80C3-3863BB430E3F,1573,,621000
40.611477,-73.926022,3.7,373000,2017,2,RR101,11234,0458A557-730B-E811-80C3-3863BB430E3F,2500,,540000
40.621045,-73.915655,2.8,442000,2017,2,RR101,11234,0459A557-730B-E811-80C3-3863BB430E3F,1920,,599000
40.612486,-73.941978,5.3,524000,2017,2.5,RR101,11234,046CAC57-730B-E811-80C3-3863BB430E3F,3000,,754000
40.616813,-73.918261,3.2,303000,2017,2,RR101,11234,046DAC57-730B-E811-80C3-3863BB430E3F,2112,,467000
40.616304,-73.915844,2.7,352000,2017,2,RR101,11234,046EB857-730B-E811-80C3-3863BB430E3F,2600,,562000
40.616739,-73.937702,5.9,376000,2017,1.75,RR101,11234,046FC457-730B-E811-80C3-3863BB430E3F,2848,,587000
40.616466,-73.943467,6.7,564000,2017,2,RR101,11234,047DC457-730B-E811-80C3-3863BB430E3F,2663,,733000
40.627293,-73.92401,4.5,414000,2017,2,RR101,11234,0489A557-730B-E811-80C3-3863BB430E3F,2500,,571000
40.581447,-73.953479,1.2,772000,2017,2,RR101,11235,048CCB57-730B-E811-80C3-3863BB430E3F,3200,,1000000
40.618241,-73.9046,2.8,1134000,2017,2.5,RR101,11234,048FA557-730B-E811-80C3-3863BB430E3F,8000,,1496000
40.621274,-73.915087,2.7,504000,2017,2,RR101,11234,04B1A057-730B-E811-80C3-3863BB430E3F,2456,,661000
40.614937,-73.908361,2.6,536000,2017,1,RR101,11234,04B1D257-730B-E811-80C3-3863BB430E3F,9090,,1015000
40.638882,-73.888554,2.3,238000,2017,2,RR101,11236,04B6D257-730B-E811-80C3-3863BB430E3F,2600,,398000
40.576419,-73.952907,1.5,642000,2017,2.5,RR101,11235,04BAA057-730B-E811-80C3-3863BB430E3F,3040,,960000
40.612425,-73.935698,4.6,463000,2017,2,RR101,11234,04C1CB57-730B-E811-80C3-3863BB430E3F,1573,,621000
40.639425,-73.889158,2.4,303000,2017,1,RR101,11236,04C4BF57-730B-E811-80C3-3863BB430E3F,4150,,479000
40.614845,-73.923262,3.1,344000,2017,2,RR101,11234,04C6CB57-730B-E811-80C3-3863BB430E3F,2050,,517000
40.646017,-73.91939,5.8,188000,2017,2,RR101,11236,04CABF57-730B-E811-80C3-3863BB430E3F,1440,,383000
40.639646,-73.888099,2.3,211000,2017,2,RR101,11236,04DDBF57-730B-E811-80C3-3863BB430E3F,2600,,367000
40.612118,-73.906266,2.5,1073000,2017,3,RR101,11234,04DDCD57-730B-E811-80C3-3863BB430E3F,5600,,1561000
40.628856,-73.92576,4.9,339000,2017,2,RR101,11234,04EEBF57-730B-E811-80C3-3863BB430E3F,1867,,483000
40.624518,-73.928625,4.6,440000,2017,2.5,RR101,11234,04F1BF57-730B-E811-80C3-3863BB430E3F,2225,,627000
40.586452,-73.963013,3.3,524000,2017,2,RR101,11235,050FAF57-730B-E811-80C3-3863BB430E3F,1600,,652000
40.6383,-73.885829,2.2,286000,2017,2,RR101,11236,0512C255-730B-E811-80C3-3863BB430E3F,2125,,414000
40.586185,-73.942813,4.1,520000,2017,1,RR101,11235,0514C255-730B-E811-80C3-3863BB430E3F,2264,,666000
40.58452,-73.941839,3.6,362000,2017,1,RR101,11235,0532BD57-730B-E811-80C3-3863BB430E3F,2306,,525000
40.609683,-73.906875,4,542000,2017,1,RR101,11234,053DB157-730B-E811-80C3-3863BB430E3F,4343,,848000
40.585775,-73.962884,3.3,576000,2017,2,RR101,11235,054CB157-730B-E811-80C3-3863BB430E3F,2000,,738000
40.645984,-73.908754,6.8,287000,2017,2.5,RR101,11236,0572A557-730B-E811-80C3-3863BB430E3F,2500,,445000
40.617236,-73.936109,5.5,326000,2017,2,RR101,11234,057C9957-730B-E811-80C3-3863BB430E3F,2000,,526000
40.610611,-73.90633,3.4,637000,2017,1,RR101,11234,05BFB357-730B-E811-80C3-3863BB430E3F,6000,,1008000
40.576383,-73.953506,1.8,917000,2017,1,RR101,11235,05C5B357-730B-E811-80C3-3863BB430E3F,3328,,1268000
40.641101,-73.910875,5.7,301000,2017,2,RR101,11236,05CA9B57-730B-E811-80C3-3863BB430E3F,2100,,457000
40.615054,-73.926173,4.3,315000,2017,2,RR101,11234,05CBBA57-730B-E811-80C3-3863BB430E3F,1833,,468000
40.619143,-73.935784,5.4,376000,2017,2,RR101,11234,05CEBA57-730B-E811-80C3-3863BB430E3F,4000,,572000
40.60532,-73.90997,0.3,816000,2017,2,RR101,11234,05D69B57-730B-E811-80C3-3863BB430E3F,9500,,1620000
40.608551,-73.928609,3.4,529000,2017,2,RR101,11234,05D6B357-730B-E811-80C3-3863BB430E3F,2050,,682000
40.592692,-73.945373,3.7,612000,2017,2,RR101,11235,05DEBA57-730B-E811-80C3-3863BB430E3F,2000,,789000
40.614457,-73.940007,5.8,387000,2017,2,RR101,11234,061DD557-730B-E811-80C3-3863BB430E3F,2800,,621000
40.604576,-73.912418,0.3,550000,2017,1,RR101,11234,061F9E57-730B-E811-80C3-3863BB430E3F,4000,,888000
40.63753,-73.917764,4.9,159000,2017,2,RR101,11236,061FC957-730B-E811-80C3-3863BB430E3F,3333,,442000
40.585164,-73.938042,3.5,191000,2017,1,RR101,11235,0628C957-730B-E811-80C3-3863BB430E3F,1870,,347000
40.614378,-73.903979,1.4,594000,2017,2,RR101,11234,0634DC57-730B-E811-80C3-3863BB430E3F,2592,,801000
40.631915,-73.92797,6.1,375000,2017,2,RR101,11234,064DAA57-730B-E811-80C3-3863BB430E3F,1800,,490000
40.639712,-73.883378,2,342000,2017,1,RR101,11236,06679957-730B-E811-80C3-3863BB430E3F,4000,,511000
40.60992,-73.936175,4.2,500000,2017,2,RR101,11234,06689957-730B-E811-80C3-3863BB430E3F,2000,,657000
40.615631,-73.911232,2.7,426000,2017,1,RR101,11234,0675CB57-730B-E811-80C3-3863BB430E3F,5000,,676000
40.640427,-73.891983,3,261000,2017,2,RR101,11236,0676AC57-730B-E811-80C3-3863BB430E3F,2600,,366000
40.607584,-73.927819,3.1,472000,2017,2,RR101,11234,0678AC57-730B-E811-80C3-3863BB430E3F,2167,,622000
40.613527,-73.935193,4.9,342000,2017,2,RR101,11234,067FB857-730B-E811-80C3-3863BB430E3F,2200,,529000
40.609749,-73.928507,3.9,498000,2017,2,RR101,11234,0688A057-730B-E811-80C3-3863BB430E3F,3000,,694000
40.608088,-73.908305,1.4,892000,2017,2,RR101,11234,068AAC57-730B-E811-80C3-3863BB430E3F,4500,,1262000
40.63106,-73.905457,1.5,326000,2017,1,RR101,11236,068ACB57-730B-E811-80C3-3863BB430E3F,2200,,508000
40.610963,-73.927899,4,386000,2017,2,RR101,11234,068EA557-730B-E811-80C3-3863BB430E3F,2500,,550000
40.644285,-73.906864,6.2,185000,2017,2,RR101,11236,0692AC57-730B-E811-80C3-3863BB430E3F,2600,,365000
40.618668,-73.940233,6.1,453000,2017,2,RR101,11234,069DA057-730B-E811-80C3-3863BB430E3F,1600,,608000
40.634086,-73.894471,2.7,223000,2017,1.5,RR101,11236,06A7A057-730B-E811-80C3-3863BB430E3F,2000,,354000
40.619521,-73.934974,5.3,365000,2017,2,RR101,11234,06B1D257-730B-E811-80C3-3863BB430E3F,4000,,681000
40.608786,-73.929246,3.7,499000,2017,2,RR101,11234,06B8D257-730B-E811-80C3-3863BB430E3F,2000,,655000
40.587028,-73.939369,2.8,387000,2017,2,RR101,11235,06BCD957-730B-E811-80C3-3863BB430E3F,2550,,567000
40.609094,-73.92777,3.6,348000,2017,2,RR101,11234,06BED957-730B-E811-80C3-3863BB430E3F,1600,,502000
40.65044,-73.919007,8.4,169000,2017,2,RR101,11236,06C8BF57-730B-E811-80C3-3863BB430E3F,2000,,474000
40.635654,-73.897389,4,138000,2017,1,RR101,11236,06CDA057-730B-E811-80C3-3863BB430E3F,1954,,263000
40.609344,-73.903562,3.7,734000,2017,1,RR101,11234,06CFD957-730B-E811-80C3-3863BB430E3F,5392,,1060000
40.637388,-73.88481,2.7,277000,2017,2,RR101,11236,06E1AE57-730B-E811-80C3-3863BB430E3F,2625,,475000
40.608104,-73.905806,3.6,663000,2017,1,RR101,11234,06E2CD57-730B-E811-80C3-3863BB430E3F,3750,,962000
40.612457,-73.929562,4.3,360000,2017,2,RR101,11234,06E7C157-730B-E811-80C3-3863BB430E3F,3000,,617000
40.613891,-73.910521,2.5,1361000,2017,2.75,RR101,11234,06E7CD57-730B-E811-80C3-3863BB430E3F,5000,,1855000
40.58046,-73.941358,0.3,485000,2017,2,RR101,11235,06F0A257-730B-E811-80C3-3863BB430E3F,2161,,751000
40.616961,-73.933962,4.8,513000,2017,2.5,RR101,11234,06FEC157-730B-E811-80C3-3863BB430E3F,4000,,851000
40.622113,-73.926921,4.8,322000,2017,2,RR101,11234,0703AF57-730B-E811-80C3-3863BB430E3F,2650,,475000
40.613193,-73.931133,4.3,619000,2017,1,RR101,11234,0707C255-730B-E811-80C3-3863BB430E3F,3250,,819000
40.607493,-73.908859,0.5,905000,2017,1,RR101,11234,070CB657-730B-E811-80C3-3863BB430E3F,4817,,1225000
40.609192,-73.910687,2,479000,2017,2,RR101,11234,070FB657-730B-E811-80C3-3863BB430E3F,1800,,646000
40.61261,-73.928027,4.3,401000,2017,2,RR101,11234,072FBD57-730B-E811-80C3-3863BB430E3F,2533,,579000
40.61759,-73.924928,4.4,292000,2017,2,RR101,11234,0772A557-730B-E811-80C3-3863BB430E3F,3000,,477000
40.611992,-73.909672,2.4,679000,2017,1,RR101,11234,07D1BA57-730B-E811-80C3-3863BB430E3F,4975,,1068000
40.620656,-73.909748,2.6,445000,2017,2,RR101,11234,07DAB357-730B-E811-80C3-3863BB430E3F,2783,,621000
40.607936,-73.906223,3,654000,2017,2,RR101,11234,07ED9B57-730B-E811-80C3-3863BB430E3F,4746,,1105000
40.589749,-73.951917,4.1,541000,2017,2,RR101,11235,07F99B57-730B-E811-80C3-3863BB430E3F,1600,,678000
40.611374,-73.937048,4.4,564000,2017,2,RR101,11234,0809C957-730B-E811-80C3-3863BB430E3F,2000,,735000
40.646217,-73.919614,5.8,188000,2017,2,RR101,11236,080FAA57-730B-E811-80C3-3863BB430E3F,1440,,383000
40.610315,-73.928402,4,454000,2017,2,RR101,11234,0816D557-730B-E811-80C3-3863BB430E3F,2500,,630000
40.60885,-73.937824,4.2,489000,2017,2,RR101,11234,081AAF57-730B-E811-80C3-3863BB430E3F,2000,,670000
40.612053,-73.928542,4.3,405000,2017,2,RR101,11234,081EDC57-730B-E811-80C3-3863BB430E3F,2033,,567000
40.616835,-73.917892,3.1,311000,2017,2,RR101,11234,082AC257-730B-E811-80C3-3863BB430E3F,2496,,491000
40.619754,-73.926673,4.9,323000,2017,2,RR101,11234,0833D557-730B-E811-80C3-3863BB430E3F,3000,,531000
40.619269,-73.937214,5.6,387000,2017,2,RR101,11234,083EAA57-730B-E811-80C3-3863BB430E3F,1350,,531000
40.620536,-73.904221,2.8,623000,2017,2,RR101,11234,08419E57-730B-E811-80C3-3863BB430E3F,6000,,957000
40.591429,-73.951258,4.6,530000,2017,1,RR101,11235,0845D057-730B-E811-80C3-3863BB430E3F,2233,,715000
40.622334,-73.926945,4.8,325000,2017,2,RR101,11234,084DA557-730B-E811-80C3-3863BB430E3F,2650,,475000
40.6148,-73.926146,4.1,314000,2017,2,RR101,11234,0863C457-730B-E811-80C3-3863BB430E3F,1833,,467000
40.588348,-73.94135,3,647000,2017,2,RR101,11235,0875AC57-730B-E811-80C3-3863BB430E3F,2000,,801000
40.61171,-73.931179,4.3,414000,2017,2,RR101,11234,0875C457-730B-E811-80C3-3863BB430E3F,2000,,581000
40.6206,-73.929725,5,312000,2017,2,RR101,11234,0876CB57-730B-E811-80C3-3863BB430E3F,2225,,448000
40.614148,-73.907538,2.8,852000,2017,2.5,RR101,11234,087FCB57-730B-E811-80C3-3863BB430E3F,11327,,1564000
40.616648,-73.942924,6.6,500000,2017,2,RR101,11234,0889C457-730B-E811-80C3-3863BB430E3F,2576,,703000
40.58327,-73.93648,0.1,229000,2017,1,RR101,11235,088AAC57-730B-E811-80C3-3863BB430E3F,1094,,322000
40.616379,-73.933883,4.8,410000,2017,2,RR101,11234,0890A557-730B-E811-80C3-3863BB430E3F,4000,,701000
40.616741,-73.935097,5.3,347000,2017,2,RR101,11234,0891AC57-730B-E811-80C3-3863BB430E3F,2000,,536000
40.615439,-73.93971,6,355000,2017,2,RR101,11234,0896BF57-730B-E811-80C3-3863BB430E3F,2550,,556000
40.637512,-73.918219,4.7,189000,2017,2,RR101,11236,0897A057-730B-E811-80C3-3863BB430E3F,1800,,351000
40.575895,-73.949989,0.9,1176000,2017,2.5,RR101,11235,0898CB57-730B-E811-80C3-3863BB430E3F,4160,,1658000
40.605696,-73.929678,3,415000,2017,1,RR101,11234,08A1D257-730B-E811-80C3-3863BB430E3F,2300,,586000
40.592203,-73.952381,6,556000,2017,2,RR101,11235,08C5CB57-730B-E811-80C3-3863BB430E3F,1983,,725000
40.629758,-73.932681,6.8,311000,2017,2,RR101,11234,08D0AE57-730B-E811-80C3-3863BB430E3F,1715,,435000
40.610455,-73.903783,2,923000,2017,1.5,RR101,11234,08D4AE57-730B-E811-80C3-3863BB430E3F,5392,,1349000
40.614375,-73.932636,4.5,398000,2017,2,RR101,11234,08E0BF57-730B-E811-80C3-3863BB430E3F,2075,,591000
40.58163,-73.949653,0.3,1747000,2017,2,RR101,11235,08E8C157-730B-E811-80C3-3863BB430E3F,4777,,2187000
40.646326,-73.905988,6.7,281000,2017,2,RR101,11236,08F1A257-730B-E811-80C3-3863BB430E3F,3250,,482000
40.603852,-73.910243,0.1,800000,2017,1,RR101,11234,08F8C157-730B-E811-80C3-3863BB430E3F,6000,,1236000
40.589706,-73.951909,4.1,543000,2017,2,RR101,11235,08FFC157-730B-E811-80C3-3863BB430E3F,1600,,683000
40.591717,-73.945189,3.5,611000,2017,2,RR101,11235,0911B657-730B-E811-80C3-3863BB430E3F,2000,,789000
40.579129,-73.95021,0.9,1946000,2017,2.75,RR101,11235,091CB657-730B-E811-80C3-3863BB430E3F,4500,,2554000
40.612256,-73.930092,4.3,395000,2017,2,RR101,11234,092CBD57-730B-E811-80C3-3863BB430E3F,3000,,617000
40.637368,-73.917585,4.9,189000,2017,2,RR101,11236,092DBD57-730B-E811-80C3-3863BB430E3F,1800,,351000
40.6467,-73.918331,6.8,153000,2017,2,RR101,11236,0940B157-730B-E811-80C3-3863BB430E3F,1600,,337000
40.640612,-73.88964,2.5,238000,2017,2,RR101,11236,094FBD57-730B-E811-80C3-3863BB430E3F,2600,,395000
40.627674,-73.930618,6,390000,2017,2,RR101,11234,0954BD57-730B-E811-80C3-3863BB430E3F,2500,,575000
40.609599,-73.912477,2.4,397000,2017,3,RR101,11234,09BAB357-730B-E811-80C3-3863BB430E3F,1900,,661000
40.579409,-73.93907,1.9,762000,2017,2.5,RR101,11235,09BF9B57-730B-E811-80C3-3863BB430E3F,2500,,1081000
40.614048,-73.944558,6,578000,2017,2,RR101,11234,09C0BA57-730B-E811-80C3-3863BB430E3F,1752,,814000
40.618482,-73.934574,5.1,410000,2017,2,RR101,11234,09D19B57-730B-E811-80C3-3863BB430E3F,4000,,704000
40.616841,-73.917799,3.1,311000,2017,2,RR101,11234,09DAB357-730B-E811-80C3-3863BB430E3F,2496,,491000
